date	customer
1/1/2012	1
2/1/2012	1
3/1/2012	1
4/1/2012	2
5/1/2012	2
6/1/2012	3
7/1/2012	4
8/1/2012	5
9/1/2012	8
10/1/2012	10
11/1/2012	12
12/1/2012	14
1/1/2013	17
2/1/2013	20
3/1/2013	25
4/1/2013	27
5/1/2013	29
6/1/2013	30
7/1/2013	33
8/1/2013	36
9/1/2013	36
10/1/2013	36
11/1/2013	38
12/1/2013	39
1/1/2014	50
2/1/2014	53
3/1/2014	55
4/1/2014	56
5/1/2014	57
6/1/2014	57
7/1/2014	57
8/1/2014	58
9/1/2014	58
10/1/2014	60
11/1/2014	66
12/1/2014	67
1/1/2015	67
2/1/2015	73
3/1/2015	74
4/1/2015	79
5/1/2015	80
6/1/2015	83
7/1/2015	88
8/1/2015	90
9/1/2015	90
10/1/2015	90
11/1/2015	91
12/1/2015	91
1/1/2016	94
2/1/2016	96
3/1/2016	99
4/1/2016	100
5/1/2016	106
6/1/2016	111
7/1/2016	119
8/1/2016	130
9/1/2016	135
10/1/2016	140
11/1/2016	147
12/1/2016	149
1/1/2017	156
2/1/2017	157
3/1/2017	165
4/1/2017	168
5/1/2017	180
6/1/2017	188
7/1/2017	190
8/1/2017	200
9/1/2017	210
10/1/2017	213
11/1/2017	229
12/1/2017	240
1/1/2018	255
2/1/2018	257
3/1/2018	280
